,source,review,rating,review_title,thumbs_up,date,developerResponse,developerResponse_date,appVersion
52,Google Play,Good game👍 Very good graphics,5,,13,17/06/2022 5:06,,,3.2.0.5531
53,Google Play,Puta lupet!,5,,3,14/06/2022 14:40,,,3.1.0.5408
54,Google Play,I like this game riot😘🥰,5,,1,10/06/2022 18:31,,,
55,Google Play,I been waiting for hours to download this game Nad it takes more hours on the update and i still can't open the game please fix this,1,,21,02/06/2022 6:59,,,3.2.0.5531
56,Google Play,ok,5,,0,01/06/2022 15:34,,,
57,Google Play,Wildritf ilabas nyo na sa huawei Yung Wildriftttt,5,,0,31/05/2022 5:59,,,
58,Google Play,I love this game,5,,0,27/05/2022 10:10,,,
59,Google Play,Tagal o update,1,,2,24/05/2022 12:22,,,3.1.0.5408
60,Google Play,keep it up always update the game!,5,,0,24/05/2022 7:38,,,
61,Google Play,i dont know what happen its very slow to update the extra file update ending up to uninstall because its allready 5 hours of waiting the loading percent irs only 15percent if u really want attention to your apps why not allow players to play while downloading the extra file like mobile legends,1,,0,22/05/2022 4:16,,,
62,Google Play,It's ok naman,3,,9,21/05/2022 0:05,,,3.2.0.5531
63,Google Play,Love it,5,,0,20/05/2022 4:09,,,
64,Google Play,Idk,1,,0,17/05/2022 23:42,,,
65,Google Play,NC game,1,,1,17/05/2022 8:52,Hey there! That doesn't sound right… We suggest submitting a support ticket at https://support-wildrift.riotgames.com/ to get in touch with our Player Support Team. They'll make sure your problem is heard and do what they can to address it!,13/05/2022 13:33,
66,Google Play,Well play,1,,0,17/05/2022 1:56,,,
67,Google Play,Di hjope fully maganda to,5,,0,16/05/2022 16:56,,,
68,Google Play,Trip ko lang,1,,0,16/05/2022 2:48,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,17/05/2022 4:04,1.1.0.3585
69,Google Play,No to riot king,1,,0,15/05/2022 22:22,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,16/05/2022 23:04,
70,Google Play,i hate thos game😡,1,,0,15/05/2022 17:41,,,
71,Google Play,Nice game 👍👍👍👍👍👍,5,,0,15/05/2022 10:00,,,
72,Google Play,Pangit ng game,1,,0,15/05/2022 9:23,,,
73,Google Play,Best game ever 🥰🥰🥰,5,,14,15/05/2022 2:31,,,3.2.0.5531
74,Google Play,Bye mlbb,5,,0,14/05/2022 4:08,,,
75,Google Play,Bad game,1,,0,13/05/2022 7:30,,,
76,Google Play,Best game ever,5,,5,13/05/2022 4:20,,,3.1.0.5408
77,Google Play,Good to player but the addictive is not good of our health,5,,0,12/05/2022 2:37,,,
78,Google Play,10000000 Stars,5,,4,12/05/2022 1:54,,,3.1.0.5408
79,Google Play,Pangit bulok mas maganda pa ml kahit gaya gaya dead game dead game💀💀💀💀💀💀💀💀💀☠☠☠☠☠☠💀💀💀💀💀💀💀💀☠☠☠☠☠☠💀☠💀☠💀💀💀☠💀💀💀💀💀💀💀💀💀☠💀☠💀☠💀☠💀☠💀☠💀☠💀☠💀☠☠☠💀☠💀☠💀☠💀☠💀💀☠💀☠💀☠💀💀☠💀☠☠☠💀☠💀☠💀☠💀☠💀☠💀☠💀☠,1,,0,10/05/2022 8:33,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,11/05/2022 9:03,
80,Google Play,ganda,5,,0,26/04/2022 9:31,,,
81,Google Play,huwag pahintulutan ang mga thirdparrty,2,,0,24/04/2022 13:52,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,25/04/2022 15:04,
82,Google Play,Good,5,,0,02/04/2022 20:59,,,
83,Google Play,This game is good,5,,2,31/03/2022 0:17,,,3.0.0.5295
84,Google Play,Why i can't update my Wildrift game . I give 1 star for now . So please can you give me some solvings . Thanks,1,,10,24/03/2022 2:50,"Hi Mykel Agustin, That doesn't sound right… We suggest submitting a support ticket at https://support-wildrift.riotgames.com/ to get in touch with our Player Support Team. They'll make sure your problem is heard and do what they can to address it!",24/03/2022 4:54,3.0.0.5295
85,Google Play,Try,5,,0,22/03/2022 15:17,,,
86,Google Play,I like it,5,,4,13/03/2022 23:28,,,3.0.0.5295
87,Google Play,I'm lagging but I have a good wifi😾,1,,0,03/03/2022 13:14,"Hi Vins Diego, Nothing can ruin a game like connection issues, and we'd like to help. Please submit a ticket on https://support-wildrift.riotgames.com/ and we'll see if we can figure this one out.",04/03/2022 4:45,
88,Google Play,Maganda sya ang cool panga ehh,5,,0,28/02/2022 14:52,,,
89,Google Play,Nice game,5,,0,24/02/2022 23:40,,,
90,Google Play,NC g!,5,,0,23/02/2022 4:08,,,
91,Google Play,legends never die🙂🙂,5,,0,20/02/2022 9:23,,,1.1.0.3585
92,Google Play,Thankgames,3,,0,19/02/2022 6:16,,,
93,Google Play,Tagal mag loading,5,,5,17/02/2022 12:46,,,3.0.0.5295
94,Google Play,Tagal,5,,0,09/02/2022 3:43,,,
95,Google Play,Trash,1,,0,07/02/2022 7:49,,,
96,Google Play,I cannot open ot i hope you fix it 🥲✋,5,,0,06/02/2022 21:15,,,
97,Google Play,i love the game,5,,0,04/02/2022 3:04,,,
98,Google Play,My favorite MOBA,5,,0,30/01/2022 1:08,,,
99,Google Play,Yamete,5,,0,29/01/2022 3:49,,,
100,Google Play,Adding LOL: WildRift Lite for 2GB Ram and 16GB Storage,5,,15,26/01/2022 6:55,,,3.0.0.5295
101,Google Play,PLZZZZ RIOT FIX YOUR UNBALANCE TEAM...,5,,12,22/01/2022 3:47,,,3.0.0.5295
102,Google Play,🥰🥰🥰🥰,5,,2,21/01/2022 10:38,,,2.6.0.5178
103,Google Play,its getting ok,5,,12,20/01/2022 10:53,,,3.0.0.5295
104,Google Play,This is awsome,5,,2,09/01/2022 6:23,,,2.6.0.5178
105,Google Play,this is one of the best games that I have played in case there are still many things that should be fixed like the rank game and there are also many foreigners that we can understand the message and the role play in the rank should be also fixed because many toxic people do not just adjust that all and thanks,5,,0,01/01/2022 23:58,,,
106,Google Play,App is not install,5,,0,31/12/2021 7:30,,,
107,Google Play,Balik na ko papa riot,5,,0,28/12/2021 10:04,,,
108,Google Play,awesome game i don't care for the haters i just love this game and please do make an alistar project or mecha skin please that would make my year 💖💖💖 love lots riot,5,,0,25/12/2021 15:10,,,
109,Google Play,Why teemo wasn't in free selected free hero so sad,1,,6,24/12/2021 4:17,,,2.6.0.5178
110,Google Play,napaka lag,1,,9,24/12/2021 1:03,,,2.6.0.5178
111,Google Play,Nc mas better to kesa sa ml,4,,0,24/12/2021 0:23,,,
112,Google Play,The best,5,,4,23/12/2021 16:16,,,2.6.0.5178
113,Google Play,Ang ganda pero di ko ma download,5,,0,23/12/2021 12:07,,,
114,Google Play,I love this game!!!!,5,,0,23/12/2021 7:29,,,
115,Google Play,Maganda laroin,5,,0,21/12/2021 0:50,,,
116,Google Play,This is my favorite game I love it,5,,0,19/12/2021 5:59,,,1.1.0.3585
117,Google Play,Ol,4,,1,08/12/2021 7:55,,,2.5.0.5046
118,Google Play,It has been hours and still the update keeps reseting,1,,9,07/12/2021 11:12,,,2.6.0.5178
119,Google Play,haja,5,,1,04/12/2021 15:00,,,2.5.0.5046
120,Google Play,Convincing ✨📝,3,,0,04/12/2021 4:27,,,1.1.0.3585
121,Google Play,Na paka ganda ng larong ito subra,5,,0,25/11/2021 12:05,,,
122,Google Play,Yasuo,4,,0,24/11/2021 15:16,,,
123,Google Play,Bakit hindi ma updete,5,,0,24/11/2021 11:57,,,
124,Google Play,Good game,5,,5,22/11/2021 6:08,,,2.5.0.5046
125,Google Play,Many bug,1,,0,18/11/2021 14:28,,,
126,Google Play,"Bigyan kita 5star agad kasi mas magaling kapa kay moonton nakaka irita n si moonton daming ka o,a Han d NMN maganda ung net daming toxic .... Lagi palagi tas bigyan ung credits score mo 110ginwang 89 nlng dahil red ping nah net nila🤨🤨🤨",5,,0,18/11/2021 7:56,,,
127,Google Play,5 star,5,,0,15/11/2021 22:30,,,
128,Google Play,GRSBE RIOT TALAGA DITO,5,,0,15/11/2021 14:40,,,
